League,Background,Font,URL
NCAA,#009CDE,#000000,https://1000logos.net/wp-content/uploads/2021/12/NCAA-Logo.png
NCAA Playoffs,#c9920e,#000000,https://en.wikipedia.org/wiki/File:Logo_of_college_football_playoff.svg
NIT,563B87,#E0902F,https://en.wikipedia.org/wiki/File:NIT_North_Texas_2021_logo.png
ACC,#013ca6,#FFFFFF,https://1000logos.net/wp-content/uploads/2016/10/ACC-Logo.png
American,#e2231a,#041e41,https://1000logos.net/wp-content/uploads/2021/06/American-Athletic-Conference-logo.png
Big 10,#0088ce,#000000,https://1000logos.net/wp-content/uploads/2021/06/Big-Ten-Conference-logo.png
Big 12,#ef483e,#cfd4d8,https://1000logos.net/wp-content/uploads/2021/06/Big-12-Conference-logo.png
Big East,#1a427d,#e41c39,https://1000logos.net/wp-content/uploads/2021/06/Big-East-Conference-logo.png
Big Sky,#005daa,#70cde3,https://1000logos.net/wp-content/uploads/2020/04/Big-Sky-Conference-Logo.png
CUSA,#a6192e,#bbbcbc,https://1000logos.net/wp-content/uploads/2020/05/Conference-USA-Logo.png
HBCU,#ed192d,#000000,https://1000logos.net/wp-content/uploads/2021/07/Southwestern-Athletic-Conference-logo.png
Ivy,#01563f,#FFFFFF,https://1000logos.net/wp-content/uploads/2020/06/Ivy-League-Logo.png
Mountain West,#4f2d7f,#afafaf,https://1000logos.net/wp-content/uploads/2020/06/Mountain-West-Conference-Logo.png
Ohio Valley,#9C243F,#887744,https://1000logos.net/ohio-valley-conference-logo/
PAC 12,#004b91,#FFFFFF,https://1000logos.net/wp-content/uploads/2022/02/Pacific-10-Conference-logo.png
Pioneer,#9b745b,#dcdee2,https://1000logos.net/wp-content/uploads/2021/07/Pioneer-Football-League-logo.png
SEC,#004b8d,#ffd046,https://1000logos.net/wp-content/uploads/2021/07/Southeastern-Conference-logo.png
Sun Belt,#0c2342,#f2a900,https://1000logos.net/wp-content/uploads/2022/02/Sun-Belt-Conference-logo.png
Wild,#2A454B,#DAD7CD,https://1000logos.net/wp-content/uploads/2021/06/Division-I-FBS-Independents-logo.png
