LeagueName,Division Name,Div Index
NCAA PAC 12,NORTH,1
NCAA ACC,ATLANTIC,1
NCAA BIG 12,HEAT,1
NCAA SEC,EAST,1
NCAA BIG EAST & CO.,MIDEAST,1
NCAA SUN BELT,BIBLE,1
NCAA PIONEER,PATRIOT,1
NCAA BIG SKY,Frontier,1
NCAA WILD,PLAINS,1
NCAA IVY,RICH,1
NCAA USA,GULF,1
NCAA HISTORICALLY BLACK,Mississippi River,1
NCAA OHIO VALLEY,Yankee,1
NCAA MOUNTAIN WEST,SAINT,1
NCAA BIG 10,EAST,1
NCAA PAC 12,SOUTH,2
NCAA ACC,COASTAL,2
NCAA BIG 12,WIND,2
NCAA SEC,WEST,2
NCAA BIG EAST & CO.,NORTHEAST,2
NCAA SUN BELT,REBEL,2
NCAA PIONEER,FREEDOM,2
NCAA BIG SKY,Colonies,2
NCAA WILD,VALLEY,2
NCAA IVY,SMART,2
NCAA USA,TWISTER,2
NCAA HISTORICALLY BLACK,Hurricane,2
NCAA OHIO VALLEY,Southern,2
NCAA MOUNTAIN WEST,SIN,2
NCAA BIG 10,WEST,2
